Compound,Che.type,Cell.type,Addition.Type,Time,Compartment_new,Compartment,% Recovery,Volume (uL),Used Volume (uL),Input Amount (pmol),Input.Amount.umol,Estimated amount (pmol),Estimated.Concentration.uM
8:2 FTS,PFAS,OAT1,AtoB,4,Lumen,Top,43.47156545,75,75,375,0.000375,163.0183704,2.173578272
8:2 FTS,PFAS,OAT1,AtoB,4,Lumen,Top,54.30721219,75,75,375,0.000375,203.6520457,2.71536061
8:2 FTS,PFAS,OAT1,AtoB,4,Lumen,Top,23.27066532,75,75,375,0.000375,87.26499493,1.163533266
8:2 FTS,PFAS,OAT1,AtoB,4,Blood,Bottom,54.30153557,235,235,375,0.000375,203.6307584,0.866513866
8:2 FTS,PFAS,OAT1,AtoB,4,Blood,Bottom,43.88823874,235,235,375,0.000375,164.5808953,0.700344235
8:2 FTS,PFAS,OAT1,AtoB,4,Blood,Bottom,94.47400624,235,235,375,0.000375,354.2775234,1.507563929
8:2 FTS,PFAS,OAT1,AtoB,4,Blood,Bottom,66.82510326,235,235,375,0.000375,250.5941372,1.066358031
8:2 FTS,PFAS,OAT1,BtoA,4,Blood,Bottom,54.64529478,235,235,1175,0.001175,642.0822136,2.732264739
8:2 FTS,PFAS,OAT1,BtoA,4,Blood,Bottom,150.7140374,235,235,1175,0.001175,1770.889939,7.535701869
8:2 FTS,PFAS,OAT1,BtoA,4,Blood,Bottom,32.12729519,235,235,1175,0.001175,377.4957185,1.60636476
8:2 FTS,PFAS,OAT1,BtoA,4,Blood,Bottom,89.65921323,235,235,1175,0.001175,1053.495755,4.482960661
8:2 FTS,PFAS,OAT1,BtoA,4,Lumen,Top,11.3308634,75,75,1175,0.001175,133.1376449,1.775168599
8:2 FTS,PFAS,OAT1,BtoA,4,Lumen,Top,16.07412827,75,75,1175,0.001175,188.8710071,2.518280095
8:2 FTS,PFAS,OAT1,BtoA,4,Lumen,Top,16.53357964,75,75,1175,0.001175,194.2695607,2.59026081
8:2 FTS,PFAS,OAT1,BtoA,4,Lumen,Top,28.91558813,75,75,1175,0.001175,339.7581605,4.530108807
PFDA,PFAS,OAT1,AtoB,4,Lumen,Top,24.94523642,75,75,375,0.000375,93.54463656,1.247261821
PFDA,PFAS,OAT1,AtoB,4,Lumen,Top,53.405784,75,75,375,0.000375,200.27169,2.6702892
PFDA,PFAS,OAT1,AtoB,4,Lumen,Top,42.85726422,75,75,375,0.000375,160.7147408,2.142863211
PFDA,PFAS,OAT1,AtoB,4,Lumen,Top,25.45659081,75,75,375,0.000375,95.46221553,1.27282954
PFDA,PFAS,OAT1,AtoB,4,Blood,Bottom,49.85039035,235,235,375,0.000375,186.9389638,0.795484952
PFDA,PFAS,OAT1,AtoB,4,Blood,Bottom,53.37769886,235,235,375,0.000375,200.1663707,0.85177179
PFDA,PFAS,OAT1,AtoB,4,Blood,Bottom,95.42162498,235,235,375,0.000375,357.8310937,1.522685505
PFDA,PFAS,OAT1,AtoB,4,Blood,Bottom,54.68541035,235,235,375,0.000375,205.0702888,0.872639527
PFDA,PFAS,OAT1,BtoA,4,Blood,Bottom,61.79527173,235,235,1175,0.001175,726.0944429,3.089763587
PFDA,PFAS,OAT1,BtoA,4,Blood,Bottom,76.07674322,235,235,1175,0.001175,893.9017328,3.803837161
PFDA,PFAS,OAT1,BtoA,4,Blood,Bottom,125.7394036,235,235,1175,0.001175,1477.437992,6.28697018
PFDA,PFAS,OAT1,BtoA,4,Blood,Bottom,79.50212644,235,235,1175,0.001175,934.1499856,3.975106322
PFDA,PFAS,OAT1,BtoA,4,Lumen,Top,25.36198681,75,75,1175,0.001175,298.0033451,3.973377934
PFDA,PFAS,OAT1,BtoA,4,Lumen,Top,11.80216803,75,75,1175,0.001175,138.6754743,1.849006324
PFDA,PFAS,OAT1,BtoA,4,Lumen,Top,14.11776093,75,75,1175,0.001175,165.8836909,2.211782546
PFDA,PFAS,OAT1,BtoA,4,Lumen,Top,5.60453924,75,75,1175,0.001175,65.85333606,0.878044481
PFPeA,PFAS,OAT1,AtoB,4,Lumen,Top,87.41755682,75,75,375,0.000375,327.8158381,4.370877841
PFPeA,PFAS,OAT1,AtoB,4,Lumen,Top,177.2233511,75,75,375,0.000375,664.5875667,8.861167555
PFPeA,PFAS,OAT1,AtoB,4,Lumen,Top,78.79699664,75,75,375,0.000375,295.4887374,3.939849832
PFPeA,PFAS,OAT1,AtoB,4,Lumen,Top,48.86289019,75,75,375,0.000375,183.2358382,2.443144509
PFPeA,PFAS,OAT1,AtoB,4,Blood,Bottom,1.855099955,235,235,375,0.000375,6.956624831,0.029602659
PFPeA,PFAS,OAT1,AtoB,4,Blood,Bottom,1.668740246,235,235,375,0.000375,6.257775923,0.026628834
PFPeA,PFAS,OAT1,AtoB,4,Blood,Bottom,2.048301106,235,235,375,0.000375,7.681129148,0.032685656
PFPeA,PFAS,OAT1,AtoB,4,Blood,Bottom,2.127063932,235,235,375,0.000375,7.976489746,0.03394251
PFPeA,PFAS,OAT1,BtoA,4,Blood,Bottom,105.7454267,235,235,1175,0.001175,1242.508763,5.287271333
PFPeA,PFAS,OAT1,BtoA,4,Blood,Bottom,58.38610976,235,235,1175,0.001175,686.0367897,2.919305488
PFPeA,PFAS,OAT1,BtoA,4,Blood,Bottom,110.8870574,235,235,1175,0.001175,1302.922924,5.54435287
PFPeA,PFAS,OAT1,BtoA,4,Blood,Bottom,122.3669565,235,235,1175,0.001175,1437.811739,6.118347826
PFPeA,PFAS,OAT1,BtoA,4,Lumen,Top,0.966415708,75,75,1175,0.001175,11.35538457,0.151405128
PFPeA,PFAS,OAT1,BtoA,4,Lumen,Top,0.589081604,75,75,1175,0.001175,6.921708843,0.092289451
PFPeA,PFAS,OAT1,BtoA,4,Lumen,Top,0.737166768,75,75,1175,0.001175,8.661709527,0.11548946
PFPeA,PFAS,OAT1,BtoA,4,Lumen,Top,0.321785564,75,75,1175,0.001175,3.780980382,0.050413072
PFUnDA,PFAS,OAT1,AtoB,4,Lumen,Top,16.59234536,75,75,375,0.000375,62.22129512,0.829617268
PFUnDA,PFAS,OAT1,AtoB,4,Lumen,Top,46.40611115,75,75,375,0.000375,174.0229168,2.320305558
PFUnDA,PFAS,OAT1,AtoB,4,Lumen,Top,24.07205391,75,75,375,0.000375,90.27020218,1.203602696
PFUnDA,PFAS,OAT1,AtoB,4,Lumen,Top,9.844607106,75,75,375,0.000375,36.91727665,0.492230355
PFUnDA,PFAS,OAT1,AtoB,4,Blood,Bottom,104.1688037,235,235,375,0.000375,390.633014,1.662268145
PFUnDA,PFAS,OAT1,AtoB,4,Blood,Bottom,70.94284166,235,235,375,0.000375,266.0356562,1.132066622
PFUnDA,PFAS,OAT1,AtoB,4,Blood,Bottom,52.13503239,235,235,375,0.000375,195.5063715,0.831942006
PFUnDA,PFAS,OAT1,AtoB,4,Blood,Bottom,75.83820467,235,235,375,0.000375,284.3932675,1.210184117
PFUnDA,PFAS,OAT1,BtoA,4,Blood,Bottom,100.9566749,235,235,1175,0.001175,1186.24093,5.047833743
PFUnDA,PFAS,OAT1,BtoA,4,Blood,Bottom,178.6023995,235,235,1175,0.001175,2098.578195,8.930119977
PFUnDA,PFAS,OAT1,BtoA,4,Blood,Bottom,32.34258194,235,235,1175,0.001175,380.0253377,1.617129097
PFUnDA,PFAS,OAT1,BtoA,4,Blood,Bottom,41.22464787,235,235,1175,0.001175,484.3896125,2.061232394
PFUnDA,PFAS,OAT1,BtoA,4,Lumen,Top,17.86161166,75,75,1175,0.001175,209.873937,2.798319161
PFUnDA,PFAS,OAT1,BtoA,4,Lumen,Top,6.459771614,75,75,1175,0.001175,75.90231647,1.012030886
PFUnDA,PFAS,OAT1,BtoA,4,Lumen,Top,12.80554838,75,75,1175,0.001175,150.4651935,2.006202579
PFUnDA,PFAS,OAT1,BtoA,4,Lumen,Top,9.746764123,75,75,1175,0.001175,114.5244784,1.526993046
PFHpA,PFAS,OAT1,AtoB,4,Lumen,Top,129.7209319,75,75,375,0.000375,486.4534948,6.486046597
PFHpA,PFAS,OAT1,AtoB,4,Lumen,Top,85.98392878,75,75,375,0.000375,322.4397329,4.299196439
PFHpA,PFAS,OAT1,AtoB,4,Lumen,Top,64.63383155,75,75,375,0.000375,242.3768683,3.231691578
PFHpA,PFAS,OAT1,AtoB,4,Lumen,Top,74.83943682,75,75,375,0.000375,280.6478881,3.741971841
PFHpA,PFAS,OAT1,AtoB,4,Blood,Bottom,10.36049581,235,235,375,0.000375,38.8518593,0.165327061
PFHpA,PFAS,OAT1,AtoB,4,Blood,Bottom,13.00912718,235,235,375,0.000375,48.78422694,0.207592455
PFHpA,PFAS,OAT1,AtoB,4,Blood,Bottom,8.156000318,235,235,375,0.000375,30.58500119,0.130148941
PFHpA,PFAS,OAT1,AtoB,4,Blood,Bottom,13.29624758,235,235,375,0.000375,49.86092841,0.212174163
PFHpA,PFAS,OAT1,BtoA,4,Blood,Bottom,117.7761224,235,235,1175,0.001175,1383.869438,5.888806121
PFHpA,PFAS,OAT1,BtoA,4,Blood,Bottom,111.8342587,235,235,1175,0.001175,1314.052539,5.591712934
PFHpA,PFAS,OAT1,BtoA,4,Blood,Bottom,83.72970283,235,235,1175,0.001175,983.8240083,4.186485142
PFHpA,PFAS,OAT1,BtoA,4,Blood,Bottom,78.84336144,235,235,1175,0.001175,926.4094969,3.942168072
PFHpA,PFAS,OAT1,BtoA,4,Lumen,Top,1.757087159,75,75,1175,0.001175,20.64577412,0.275276988
PFHpA,PFAS,OAT1,BtoA,4,Lumen,Top,1.908856934,75,75,1175,0.001175,22.42906898,0.299054253
PFHpA,PFAS,OAT1,BtoA,4,Lumen,Top,2.310045386,75,75,1175,0.001175,27.14303329,0.36190711
PFHpA,PFAS,OAT1,BtoA,4,Lumen,Top,1.840565148,75,75,1175,0.001175,21.62664049,0.288355207
PFHxS,PFAS,OAT1,AtoB,4,Lumen,Top,94.05862482,75,75,375,0.000375,352.7198431,4.702931241
PFHxS,PFAS,OAT1,AtoB,4,Lumen,Top,103.2907994,75,75,375,0.000375,387.3404979,5.164539972
PFHxS,PFAS,OAT1,AtoB,4,Lumen,Top,94.64839567,75,75,375,0.000375,354.9314838,4.732419784
PFHxS,PFAS,OAT1,AtoB,4,Lumen,Top,97.23142262,75,75,375,0.000375,364.6178348,4.861571131
PFHxS,PFAS,OAT1,AtoB,4,Blood,Bottom,2.725058329,235,235,375,0.000375,10.21896873,0.043484973
PFHxS,PFAS,OAT1,AtoB,4,Blood,Bottom,2.496588122,235,235,375,0.000375,9.362205459,0.039839172
PFHxS,PFAS,OAT1,AtoB,4,Blood,Bottom,2.958875442,235,235,375,0.000375,11.09578291,0.047216097
PFHxS,PFAS,OAT1,AtoB,4,Blood,Bottom,2.590235539,235,235,375,0.000375,9.71338327,0.041333546
PFHxS,PFAS,OAT1,BtoA,4,Blood,Bottom,108.0219352,235,235,1175,0.001175,1269.257738,5.401096759
PFHxS,PFAS,OAT1,BtoA,4,Blood,Bottom,84.1280561,235,235,1175,0.001175,988.5046592,4.206402805
PFHxS,PFAS,OAT1,BtoA,4,Blood,Bottom,78.52497325,235,235,1175,0.001175,922.6684356,3.926248662
PFHxS,PFAS,OAT1,BtoA,4,Blood,Bottom,128.2715693,235,235,1175,0.001175,1507.19094,6.413578466
PFHxS,PFAS,OAT1,BtoA,4,Lumen,Top,0.149257489,75,75,1175,0.001175,1.753775499,0.023383673
PFHxS,PFAS,OAT1,BtoA,4,Lumen,Top,0.397019701,75,75,1175,0.001175,4.664981486,0.062199753
PFHxS,PFAS,OAT1,BtoA,4,Lumen,Top,0.402209931,75,75,1175,0.001175,4.725966692,0.063012889
PFHxS,PFAS,OAT1,BtoA,4,Lumen,Top,0.10497902,75,75,1175,0.001175,1.233503487,0.016446713
PFNA,PFAS,OAT1,AtoB,4,Lumen,Top,64.22526864,75,75,375,0.000375,240.8447574,3.211263432
PFNA,PFAS,OAT1,AtoB,4,Lumen,Top,175.2401063,75,75,375,0.000375,657.1503987,8.762005316
PFNA,PFAS,OAT1,AtoB,4,Lumen,Top,56.70686551,75,75,375,0.000375,212.6507456,2.835343275
PFNA,PFAS,OAT1,AtoB,4,Lumen,Top,64.95576653,75,75,375,0.000375,243.5841245,3.247788327
PFNA,PFAS,OAT1,AtoB,4,Blood,Bottom,9.049754478,235,235,375,0.000375,33.93657929,0.144410976
PFNA,PFAS,OAT1,AtoB,4,Blood,Bottom,10.68690351,235,235,375,0.000375,40.07588815,0.170535694
PFNA,PFAS,OAT1,AtoB,4,Blood,Bottom,9.812838433,235,235,375,0.000375,36.79814412,0.156587847
PFNA,PFAS,OAT1,AtoB,4,Blood,Bottom,9.322496591,235,235,375,0.000375,34.95936222,0.148763243
PFNA,PFAS,OAT1,BtoA,4,Blood,Bottom,76.39070628,235,235,1175,0.001175,897.5907988,3.819535314
PFNA,PFAS,OAT1,BtoA,4,Blood,Bottom,96.54040015,235,235,1175,0.001175,1134.349702,4.827020008
PFNA,PFAS,OAT1,BtoA,4,Blood,Bottom,97.18981879,235,235,1175,0.001175,1141.980371,4.859490939
PFNA,PFAS,OAT1,BtoA,4,Blood,Bottom,125.102945,235,235,1175,0.001175,1469.959604,6.255147251
PFNA,PFAS,OAT1,BtoA,4,Lumen,Top,1.010627618,75,75,1175,0.001175,11.87487451,0.15833166
PFNA,PFAS,OAT1,BtoA,4,Lumen,Top,1.348714828,75,75,1175,0.001175,15.84739923,0.211298656
PFNA,PFAS,OAT1,BtoA,4,Lumen,Top,1.170558517,75,75,1175,0.001175,13.75406257,0.183387501
PFNA,PFAS,OAT1,BtoA,4,Lumen,Top,1.246228791,75,75,1175,0.001175,14.6431883,0.195242511
PFOA,PFAS,OAT1,AtoB,4,Lumen,Top,73.00165853,75,75,375,0.000375,273.7562195,3.650082926
PFOA,PFAS,OAT1,AtoB,4,Lumen,Top,94.86728822,75,75,375,0.000375,355.7523308,4.743364411
PFOA,PFAS,OAT1,AtoB,4,Lumen,Top,102.4079213,75,75,375,0.000375,384.029705,5.120396067
PFOA,PFAS,OAT1,AtoB,4,Lumen,Top,109.1041667,75,75,375,0.000375,409.1406251,5.455208335
PFOA,PFAS,OAT1,AtoB,4,Blood,Bottom,4.192703745,235,235,375,0.000375,15.72263904,0.066904847
PFOA,PFAS,OAT1,AtoB,4,Blood,Bottom,5.054211349,235,235,375,0.000375,18.95329256,0.080652309
PFOA,PFAS,OAT1,AtoB,4,Blood,Bottom,5.856864947,235,235,375,0.000375,21.96324355,0.093460611
PFOA,PFAS,OAT1,AtoB,4,Blood,Bottom,5.515185167,235,235,375,0.000375,20.68194438,0.088008274
