Compound,Che.type,Cell.type,Addition.Type,Time,Compartment_new,Compartment,% Recovery,Volume (uL),Used Volume (uL),Input Amount (pmol),Input.Amount.umol,Estimated amount (pmol),Estimated.Concentration.uM
PFOS,PFAS,OAT1,BtoA,4,Blood,Bottom,98.10822676,235,235,1175,0.001175,1152.771664,4.905411338
PFOS,PFAS,OAT1,BtoA,4,Blood,Bottom,69.044873,235,235,1175,0.001175,811.2772578,3.45224365
PFOS,PFAS,OAT1,BtoA,4,Blood,Bottom,79.05136719,235,235,1175,0.001175,928.8535645,3.952568359
PFOS,PFAS,OAT1,BtoA,4,Blood,Bottom,103.6338525,235,235,1175,0.001175,1217.697766,5.181692623
PFOS,PFAS,OAT1,BtoA,4,Lumen,Top,9.473330889,75,75,1175,0.001175,111.3116379,1.484155173
PFOS,PFAS,OAT1,BtoA,4,Lumen,Top,12.30638856,75,75,1175,0.001175,144.6000656,1.928000874
PFOS,PFAS,OAT1,BtoA,4,Lumen,Top,7.531256037,75,75,1175,0.001175,88.49225843,1.179896779
PFOS,PFAS,OAT1,BtoA,4,Lumen,Top,9.783524318,75,75,1175,0.001175,114.9564107,1.532752143
PFBS,PFAS,OAT1,AtoB,4,Lumen,Top,150.0631347,75,75,375,0.000375,562.7367551,7.503156734
PFBS,PFAS,OAT1,AtoB,4,Lumen,Top,46.22676115,75,75,375,0.000375,173.3503543,2.311338058
PFBS,PFAS,OAT1,AtoB,4,Lumen,Top,153.2300379,75,75,375,0.000375,574.6126421,7.661501895
PFBS,PFAS,OAT1,AtoB,4,Lumen,Top,19.74661596,75,75,375,0.000375,74.04980984,0.987330798
PFBS,PFAS,OAT1,AtoB,4,Blood,Bottom,0.890017069,235,235,375,0.000375,3.337564011,0.0142024
PFBS,PFAS,OAT1,AtoB,4,Blood,Bottom,2.820087096,235,235,375,0.000375,10.57532661,0.04500139
PFBS,PFAS,OAT1,AtoB,4,Blood,Bottom,17.58651426,235,235,375,0.000375,65.94942849,0.280635866
PFBS,PFAS,OAT1,AtoB,4,Blood,Bottom,9.436831874,235,235,375,0.000375,35.38811953,0.150587743
PFBS,PFAS,OAT1,BtoA,4,Blood,Bottom,125.1939617,235,235,1175,0.001175,1471.029051,6.259698087
PFBS,PFAS,OAT1,BtoA,4,Blood,Bottom,73.3663433,235,235,1175,0.001175,862.0545338,3.668317165
PFBS,PFAS,OAT1,BtoA,4,Blood,Bottom,95.67596408,235,235,1175,0.001175,1124.192578,4.783798204
PFBS,PFAS,OAT1,BtoA,4,Blood,Bottom,98.26898843,235,235,1175,0.001175,1154.660614,4.913449422
PFBS,PFAS,OAT1,BtoA,4,Lumen,Top,0.502228625,75,75,1175,0.001175,5.901186341,0.078682485
PFBS,PFAS,OAT1,BtoA,4,Lumen,Top,0.240106219,75,75,1175,0.001175,2.821248075,0.037616641
PFBS,PFAS,OAT1,BtoA,4,Lumen,Top,4.09655858,75,75,1175,0.001175,48.13456332,0.641794178
PFBS,PFAS,OAT1,BtoA,4,Lumen,Top,1.958488911,75,75,1175,0.001175,23.0122447,0.306829929
BP4,Small Molecules,OAT1,AtoB,4,Lumen,Top,93.97085177,75,75,750,0.00075,704.7813883,9.397085177
BP4,Small Molecules,OAT1,AtoB,4,Lumen,Top,98.84306365,75,75,750,0.00075,741.3229774,9.884306365
BP4,Small Molecules,OAT1,AtoB,4,Blood,Bottom,3.32524869,235,235,750,0.00075,24.93936518,0.106124958
BP4,Small Molecules,OAT1,AtoB,4,Blood,Bottom,3.860835884,235,235,750,0.00075,28.95626913,0.123218167
BP4,Small Molecules,OAT1,BtoA,4,Blood,Bottom,97.16983586,235,235,2350,0.00235,2283.491143,9.716983586
BP4,Small Molecules,OAT1,BtoA,4,Blood,Bottom,98.9353372,235,235,2350,0.00235,2324.980424,9.89353372
BP4,Small Molecules,OAT1,BtoA,4,Lumen,Top,1.906714595,75,75,2350,0.00235,44.80779298,0.59743724
BP4,Small Molecules,OAT1,BtoA,4,Lumen,Top,1.988112347,75,75,2350,0.00235,46.72064015,0.622941869
Gentamicin,Mycin,OAT1,AtoB,4,Lumen,Top,97.70754273,75,75,75000,0.075,73280.65705,977.0754273
Gentamicin,Mycin,OAT1,AtoB,4,Lumen,Top,82.86513856,75,75,75000,0.075,62148.85392,828.6513856
Gentamicin,Mycin,OAT1,AtoB,4,Lumen,Top,110.3114956,75,75,75000,0.075,82733.62171,1103.114956
Gentamicin,Mycin,OAT1,AtoB,4,Lumen,Top,104.1334841,75,75,75000,0.075,78100.1131,1041.334841
Gentamicin,Mycin,OAT1,AtoB,4,Blood,Bottom,1.117695542,235,235,75000,0.075,838.2716565,3.567113432
Gentamicin,Mycin,OAT1,AtoB,4,Blood,Bottom,1.111182847,235,235,75000,0.075,833.3871355,3.546328236
Gentamicin,Mycin,OAT1,AtoB,4,Blood,Bottom,1.216659253,235,235,75000,0.075,912.4944399,3.882955063
Gentamicin,Mycin,OAT1,AtoB,4,Blood,Bottom,1.536801331,235,235,75000,0.075,1152.600998,4.904685099
Gentamicin,Mycin,OAT1,BtoA,4,Blood,Bottom,105.81126,235,235,235000,0.235,248656.4611,1058.1126
Gentamicin,Mycin,OAT1,BtoA,4,Blood,Bottom,93.18171845,235,235,235000,0.235,218977.0384,931.8171845
Gentamicin,Mycin,OAT1,BtoA,4,Blood,Bottom,95.83971583,235,235,235000,0.235,225223.3322,958.3971583
Gentamicin,Mycin,OAT1,BtoA,4,Blood,Bottom,103.8694892,235,235,235000,0.235,244093.2996,1038.694892
Gentamicin,Mycin,OAT1,BtoA,4,Lumen,Top,0.421026881,75,75,235000,0.235,989.4131705,13.19217561
Gentamicin,Mycin,OAT1,BtoA,4,Lumen,Top,0.228749047,75,75,235000,0.235,537.5602596,7.167470128
Gentamicin,Mycin,OAT1,BtoA,4,Lumen,Top,0.30193184,75,75,235000,0.235,709.5398243,9.46053099
Gentamicin,Mycin,OAT1,BtoA,4,Lumen,Top,0.346108711,75,75,235000,0.235,813.3554708,10.84473961
Rifampin,Small Molecules,OAT1,AtoB,4,Lumen,Top,104.2670218,75,75,750,0.00075,782.0026636,10.42670218
Rifampin,Small Molecules,OAT1,AtoB,4,Lumen,Top,102.2616691,75,75,750,0.00075,766.9625179,10.22616691
Rifampin,Small Molecules,OAT1,AtoB,4,Lumen,Top,81.44339896,75,75,750,0.00075,610.8254922,8.144339896
Rifampin,Small Molecules,OAT1,AtoB,4,Lumen,Top,75.27472658,75,75,750,0.00075,564.5604494,7.527472658
Rifampin,Small Molecules,OAT1,AtoB,4,Blood,Bottom,5.78881936,235,235,750,0.00075,43.4161452,0.184749554
Rifampin,Small Molecules,OAT1,AtoB,4,Blood,Bottom,12.88684735,235,235,750,0.00075,96.65135514,0.411282362
Rifampin,Small Molecules,OAT1,AtoB,4,Blood,Bottom,9.473434842,235,235,750,0.00075,71.05076132,0.302343665
Rifampin,Small Molecules,OAT1,AtoB,4,Blood,Bottom,8.604082047,235,235,750,0.00075,64.53061535,0.274598363
Rifampin,Small Molecules,OAT1,BtoA,4,Blood,Bottom,93.72989586,235,235,2350,0.00235,2202.652553,9.372989586
Rifampin,Small Molecules,OAT1,BtoA,4,Blood,Bottom,91.20227319,235,235,2350,0.00235,2143.25342,9.120227319
Rifampin,Small Molecules,OAT1,BtoA,4,Blood,Bottom,99.09724234,235,235,2350,0.00235,2328.785195,9.909724234
Rifampin,Small Molecules,OAT1,BtoA,4,Blood,Bottom,108.1528805,235,235,2350,0.00235,2541.592692,10.81528805
Rifampin,Small Molecules,OAT1,BtoA,4,Lumen,Top,2.20147477,75,75,2350,0.00235,51.7346571,0.689795428
Rifampin,Small Molecules,OAT1,BtoA,4,Lumen,Top,1.251980661,75,75,2350,0.00235,29.42154553,0.392287274
Rifampin,Small Molecules,OAT1,BtoA,4,Lumen,Top,2.199217255,75,75,2350,0.00235,51.6816055,0.689088073
Rifampin,Small Molecules,OAT1,BtoA,4,Lumen,Top,2.165035423,75,75,2350,0.00235,50.87833244,0.678377766
Streptomycin,Mycin,OAT1,AtoB,4,Lumen,Top,99.95708634,75,75,75000,0.075,74967.81476,999.5708634
Streptomycin,Mycin,OAT1,AtoB,4,Lumen,Top,28.23286251,75,75,75000,0.075,21174.64689,282.3286251
Streptomycin,Mycin,OAT1,AtoB,4,Lumen,Top,137.6535583,75,75,75000,0.075,103240.1687,1376.535583
Streptomycin,Mycin,OAT1,AtoB,4,Lumen,Top,126.6845661,75,75,75000,0.075,95013.42457,1266.845661
Streptomycin,Mycin,OAT1,AtoB,4,Blood,Bottom,2.528549156,235,235,75000,0.075,1896.411867,8.069837733
Streptomycin,Mycin,OAT1,AtoB,4,Blood,Bottom,1.114907828,235,235,75000,0.075,836.1808711,3.558216473
Streptomycin,Mycin,OAT1,AtoB,4,Blood,Bottom,0.786183195,235,235,75000,0.075,589.6373964,2.509095304
Streptomycin,Mycin,OAT1,AtoB,4,Blood,Bottom,3.042286557,235,235,75000,0.075,2281.714917,9.709425181
Streptomycin,Mycin,OAT1,BtoA,4,Blood,Bottom,217.5040869,235,235,235000,0.235,511134.6041,2175.040869
Streptomycin,Mycin,OAT1,BtoA,4,Blood,Bottom,23.57628067,235,235,235000,0.235,55404.25958,235.7628067
Streptomycin,Mycin,OAT1,BtoA,4,Blood,Bottom,80.85062811,235,235,235000,0.235,189998.976,808.5062811
Streptomycin,Mycin,OAT1,BtoA,4,Blood,Bottom,76.05828777,235,235,235000,0.235,178736.9763,760.5828777
Streptomycin,Mycin,OAT1,BtoA,4,Lumen,Top,0.595244003,75,75,235000,0.235,1398.823408,18.65097877
Streptomycin,Mycin,OAT1,BtoA,4,Lumen,Top,0.426159639,75,75,235000,0.235,1001.475151,13.35300201
Streptomycin,Mycin,OAT1,BtoA,4,Lumen,Top,0.62133955,75,75,235000,0.235,1460.147942,19.46863922
Streptomycin,Mycin,OAT1,BtoA,4,Lumen,Top,0.367973405,75,75,235000,0.235,864.7375014,11.52983335
Tobramycin,Mycin,OAT1,AtoB,4,Lumen,Top,51.23886503,75,75,75000,0.075,38429.14877,512.3886503
Tobramycin,Mycin,OAT1,AtoB,4,Lumen,Top,72.21941938,75,75,75000,0.075,54164.56454,722.1941938
Tobramycin,Mycin,OAT1,AtoB,4,Lumen,Top,64.79787183,75,75,75000,0.075,48598.40387,647.9787183
Tobramycin,Mycin,OAT1,AtoB,4,Lumen,Top,67.1556704,75,75,75000,0.075,50366.7528,671.556704
Tobramycin,Mycin,OAT1,AtoB,4,Blood,Bottom,30.12819433,235,235,75000,0.075,22596.14575,96.1538117
Tobramycin,Mycin,OAT1,AtoB,4,Blood,Bottom,26.6034819,235,235,75000,0.075,19952.61142,84.90472946
Tobramycin,Mycin,OAT1,AtoB,4,Blood,Bottom,40.1965617,235,235,75000,0.075,30147.42127,128.286899
Tobramycin,Mycin,OAT1,AtoB,4,Blood,Bottom,47.65993543,235,235,75000,0.075,35744.95157,152.1061769
Tobramycin,Mycin,OAT1,BtoA,4,Blood,Bottom,89.9100463,235,235,235000,0.235,211288.6088,899.100463
Tobramycin,Mycin,OAT1,BtoA,4,Blood,Bottom,89.326257,235,235,235000,0.235,209916.704,893.26257
Tobramycin,Mycin,OAT1,BtoA,4,Blood,Bottom,73.35866318,235,235,235000,0.235,172392.8585,733.5866318
Tobramycin,Mycin,OAT1,BtoA,4,Blood,Bottom,89.59562982,235,235,235000,0.235,210549.7301,895.9562982
Tobramycin,Mycin,OAT1,BtoA,4,Lumen,Top,17.16683774,75,75,235000,0.235,40342.06869,537.8942492
Tobramycin,Mycin,OAT1,BtoA,4,Lumen,Top,10.631993,75,75,235000,0.235,24985.18355,333.1357806
Tobramycin,Mycin,OAT1,BtoA,4,Lumen,Top,6.318644192,75,75,235000,0.235,14848.81385,197.9841847
Tobramycin,Mycin,OAT1,BtoA,4,Lumen,Top,23.69192877,75,75,235000,0.235,55676.03261,742.3471015
Colchicine,Small Molecules,OAT1,AtoB,4,Lumen,Top,73.76517135,75,75,750,0.00075,553.2387851,7.376517135
Colchicine,Small Molecules,OAT1,AtoB,4,Lumen,Top,94.25748246,75,75,750,0.00075,706.9311185,9.425748246
Colchicine,Small Molecules,OAT1,AtoB,4,Lumen,Top,93.97886704,75,75,750,0.00075,704.8415028,9.397886704
Colchicine,Small Molecules,OAT1,AtoB,4,Lumen,Top,92.38835526,75,75,750,0.00075,692.9126645,9.238835526
Colchicine,Small Molecules,OAT1,AtoB,4,Blood,Bottom,10.25759458,235,235,750,0.00075,76.93195938,0.32737004
Colchicine,Small Molecules,OAT1,AtoB,4,Blood,Bottom,11.42658037,235,235,750,0.00075,85.6993528,0.364678097
Colchicine,Small Molecules,OAT1,AtoB,4,Blood,Bottom,12.0464801,235,235,750,0.00075,90.34860076,0.384462131
Colchicine,Small Molecules,OAT1,AtoB,4,Blood,Bottom,11.87946882,235,235,750,0.00075,89.09601613,0.379131984
Colchicine,Small Molecules,OAT1,BtoA,4,Blood,Bottom,94.33952343,235,235,2350,0.00235,2216.978801,9.433952343
Colchicine,Small Molecules,OAT1,BtoA,4,Blood,Bottom,101.2330829,235,235,2350,0.00235,2378.977448,10.12330829
Colchicine,Small Molecules,OAT1,BtoA,4,Blood,Bottom,94.3951874,235,235,2350,0.00235,2218.286904,9.43951874
Colchicine,Small Molecules,OAT1,BtoA,4,Blood,Bottom,97.25873967,235,235,2350,0.00235,2285.580382,9.725873967
Colchicine,Small Molecules,OAT1,BtoA,4,Lumen,Top,2.600848056,75,75,2350,0.00235,61.11992932,0.814932391
Colchicine,Small Molecules,OAT1,BtoA,4,Lumen,Top,3.202705675,75,75,2350,0.00235,75.26358335,1.003514445
Colchicine,Small Molecules,OAT1,BtoA,4,Lumen,Top,3.270993434,75,75,2350,0.00235,76.86834569,1.024911276
Colchicine,Small Molecules,OAT1,BtoA,4,Lumen,Top,3.698919453,75,75,2350,0.00235,86.92460714,1.158994762
PFBA,PFAS,OAT1,AtoB,4,Lumen,Top,80.40068222,75,75,375,0.000375,301.5025583,4.020034111
PFBA,PFAS,OAT1,AtoB,4,Lumen,Top,81.75947283,75,75,375,0.000375,306.5980231,4.087973642
PFBA,PFAS,OAT1,AtoB,4,Lumen,Top,72.71539632,75,75,375,0.000375,272.6827362,3.635769816
PFBA,PFAS,OAT1,AtoB,4,Lumen,Top,75.47328261,75,75,375,0.000375,283.0248098,3.77366413
PFBA,PFAS,OAT1,AtoB,4,Blood,Bottom,30.2463242,235,235,375,0.000375,113.4237157,0.48265411
PFBA,PFAS,OAT1,AtoB,4,Blood,Bottom,29.37654941,235,235,375,0.000375,110.1620603,0.468774725
PFBA,PFAS,OAT1,AtoB,4,Blood,Bottom,15.86256999,235,235,375,0.000375,59.48463745,0.253126117
PFBA,PFAS,OAT1,AtoB,4,Blood,Bottom,14.16572243,235,235,375,0.000375,53.12145913,0.226048762
PFBA,PFAS,OAT1,BtoA,4,Blood,Bottom,99.27869998,235,235,1175,0.001175,1166.524725,4.963934999
PFBA,PFAS,OAT1,BtoA,4,Blood,Bottom,91.025165,235,235,1175,0.001175,1069.545689,4.55125825
PFBA,PFAS,OAT1,BtoA,4,Blood,Bottom,92.32861721,235,235,1175,0.001175,1084.861252,4.61643086
PFBA,PFAS,OAT1,BtoA,4,Blood,Bottom,90.12083108,235,235,1175,0.001175,1058.919765,4.506041554
PFBA,PFAS,OAT1,BtoA,4,Lumen,Top,10.79873476,75,75,1175,0.001175,126.8851334,1.691801779
PFBA,PFAS,OAT1,BtoA,4,Lumen,Top,6.274123708,75,75,1175,0.001175,73.72095357,0.982946048
PFBA,PFAS,OAT1,BtoA,4,Lumen,Top,4.936882227,75,75,1175,0.001175,58.00836617,0.773444882
PFBA,PFAS,OAT1,BtoA,4,Lumen,Top,5.236946036,75,75,1175,0.001175,61.53411593,0.820454879
PFHxA,PFAS,OAT1,AtoB,4,Lumen,Top,123.3793912,75,75,375,0.000375,462.6727171,6.168969562
PFHxA,PFAS,OAT1,AtoB,4,Lumen,Top,121.4153272,75,75,375,0.000375,455.307477,6.07076636
PFHxA,PFAS,OAT1,AtoB,4,Lumen,Top,50.30994051,75,75,375,0.000375,188.6622769,2.515497025
PFHxA,PFAS,OAT1,AtoB,4,Lumen,Top,89.39518871,75,75,375,0.000375,335.2319577,4.469759435
PFHxA,PFAS,OAT1,AtoB,4,Blood,Bottom,2.65564512,235,235,375,0.000375,9.9586692,0.042377316
PFHxA,PFAS,OAT1,AtoB,4,Blood,Bottom,2.40865704,235,235,375,0.000375,9.0324639,0.038436017
PFHxA,PFAS,OAT1,AtoB,4,Blood,Bottom,5.99115004,235,235,375,0.000375,22.46681265,0.095603458
PFHxA,PFAS,OAT1,AtoB,4,Blood,Bottom,4.444700155,235,235,375,0.000375,16.66762558,0.070926066
PFHxA,PFAS,OAT1,BtoA,4,Blood,Bottom,100.6611057,235,235,1175,0.001175,1182.767992,5.033055284
PFHxA,PFAS,OAT1,BtoA,4,Blood,Bottom,83.81656878,235,235,1175,0.001175,984.8446832,4.190828439
PFHxA,PFAS,OAT1,BtoA,4,Blood,Bottom,119.3858342,235,235,1175,0.001175,1402.783552,5.969291711
PFHxA,PFAS,OAT1,BtoA,4,Blood,Bottom,94.31607195,235,235,1175,0.001175,1108.213845,4.715803598
PFHxA,PFAS,OAT1,BtoA,4,Lumen,Top,0.534613507,75,75,1175,0.001175,6.281708709,0.083756116
PFHxA,PFAS,OAT1,BtoA,4,Lumen,Top,0.417923796,75,75,1175,0.001175,4.910604606,0.065474728
PFHxA,PFAS,OAT1,BtoA,4,Lumen,Top,0.445356955,75,75,1175,0.001175,5.232944227,0.06977259
PFHxA,PFAS,OAT1,BtoA,4,Lumen,Top,0.422525097,75,75,1175,0.001175,4.96466989,0.066195599
Tenofovir TFV,Small Molecules,OAT1,AtoB,4,Lumen,Top,106.7950214,75,75,750,0.00075,800.9626605,10.67950214
Tenofovir TFV,Small Molecules,OAT1,AtoB,4,Lumen,Top,91.28164227,75,75,750,0.00075,684.612317,9.128164227
Tenofovir TFV,Small Molecules,OAT1,AtoB,4,Lumen,Top,98.95795881,75,75,750,0.00075,742.184691,9.895795881
Tenofovir TFV,Small Molecules,OAT1,AtoB,4,Lumen,Top,89.23825878,75,75,750,0.00075,669.2869408,8.923825878
Tenofovir TFV,Small Molecules,OAT1,AtoB,4,Blood,Bottom,3.693312967,235,235,750,0.00075,27.69984725,0.11787169
Tenofovir TFV,Small Molecules,OAT1,AtoB,4,Blood,Bottom,3.046622405,235,235,750,0.00075,22.84966804,0.09723263
Tenofovir TFV,Small Molecules,OAT1,AtoB,4,Blood,Bottom,2.68762181,235,235,750,0.00075,20.15716357,0.085775164
Tenofovir TFV,Small Molecules,OAT1,AtoB,4,Blood,Bottom,4.299561567,235,235,750,0.00075,32.24671175,0.13722005
Tenofovir TFV,Small Molecules,OAT1,BtoA,4,Blood,Bottom,92.91930229,235,235,2350,0.00235,2183.603604,9.291930229
Tenofovir TFV,Small Molecules,OAT1,BtoA,4,Blood,Bottom,105.3276685,235,235,2350,0.00235,2475.20021,10.53276685
Tenofovir TFV,Small Molecules,OAT1,BtoA,4,Blood,Bottom,92.69966356,235,235,2350,0.00235,2178.442094,9.269966356
Tenofovir TFV,Small Molecules,OAT1,BtoA,4,Blood,Bottom,104.1620101,235,235,2350,0.00235,2447.807236,10.41620101
Tenofovir TFV,Small Molecules,OAT1,BtoA,4,Lumen,Top,1.30157813,75,75,2350,0.00235,30.58708605,0.407827814
Tenofovir TFV,Small Molecules,OAT1,BtoA,4,Lumen,Top,1.338275413,75,75,2350,0.00235,31.44947221,0.419326296
Tenofovir TFV,Small Molecules,OAT1,BtoA,4,Lumen,Top,1.005709568,75,75,2350,0.00235,23.63417484,0.315122331
Tenofovir TFV,Small Molecules,OAT1,BtoA,4,Lumen,Top,1.24579245,75,75,2350,0.00235,29.27612258,0.390348301
