"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C1_lumen.1.","GSD_error_C2_blood.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
61230,-8.56783,-3.38966,-3.81274,-7.99573,1.26762,1.63199,1.10326,1.26566,1.24329,4.27465,-29.39489,-21.58896,-50.98385
61260,-8.37378,-4.20337,-3.83198,-7.54544,3.94761,9.27031,1.15017,1.39594,2.28585,7.84102,-33.59837,-27.24173,-60.8401
61290,-8.8047,-4.99514,-1.21181,-4.89088,1.56717,9.87926,1.24343,1.16678,5.83238,2.39989,-32.48173,-26.24399,-58.72572
61320,-9.26369,-4.47448,0.179998,-4.90798,1.82579,2.95864,1.39549,1.91485,1.64164,2.44373,-30.87265,-26.97192,-57.84457
61350,-9.35074,-5.58938,-3.15314,-8.04822,1.67724,2.83908,1.15647,1.2615,5.41665,2.44523,-31.17501,-27.35933,-58.53434
61380,-8.92365,-3.93277,-4.49195,-8.6159,2.34156,8.09718,1.38564,2.0498,2.36193,1.37756,-31.81372,-27.59005,-59.40377
61410,-8.21198,-3.3407,-3.80352,-8.07809,1.50187,2.63678,1.32497,1.10215,1.44218,4.29018,-30.23928,-21.5162,-51.75548
61440,-9.28751,-3.98528,-3.09013,-7.83378,2.24937,4.41813,1.3139,1.21247,1.22644,5.23525,-31.29929,-24.42209,-55.72138
61470,-8.14637,-3.49225,-3.28028,-7.21974,1.36163,1.75984,1.37544,1.37631,1.59684,6.31422,-30.48866,-23.90788,-54.39654
61500,-8.00298,-3.01844,-4.14767,-8.55793,1.29112,4.25545,1.22489,1.11022,2.38292,3.1919,-30.7066,-21.87739,-52.58399
61530,-8.36899,-3.23535,-4.64905,-9.34875,2.09624,1.59762,1.22629,1.24481,6.70321,1.56493,-30.64866,-23.19104,-53.8397
61560,-8.35244,-3.19368,-3.89823,-9.01359,1.30936,4.23868,1.65291,1.29197,3.95711,2.26488,-31.34228,-25.83143,-57.17371
61590,-8.9182,-3.44968,-4.4097,-8.75641,1.9698,2.36633,1.13775,1.19583,2.97203,2.06022,-30.32194,-22.73291,-53.05486
61620,-8.48177,-3.95741,-3.87422,-8.35232,2.41752,1.95473,2.09095,1.18431,1.26067,9.661,-31.61023,-26.12866,-57.73889
61650,-8.11065,-3.79008,-4.06323,-9.1927,1.42171,1.32388,2.80032,1.47576,1.82966,1.85112,-29.92954,-27.38366,-57.3132
61680,-8.15357,-3.30169,-2.28304,-5.95796,1.29931,4.88747,2.05899,1.15801,3.95747,7.26402,-32.78091,-26.20411,-58.98501
61710,-8.1474,-2.65789,-1.31179,-5.07983,1.76021,1.29784,1.43319,1.55218,1.11789,7.42969,-30.51323,-24.36013,-54.87336
61740,-9.41717,-5.70454,-0.887817,-5.33589,1.43415,2.58486,1.34428,1.20736,4.89246,3.33806,-31.3288,-27.56018,-58.88898
61770,-9.58596,-3.39676,-4.70802,-10.1136,3.88232,3.82693,1.57146,1.13965,4.00771,3.03197,-32.47518,-27.40669,-59.88188
61800,-10.2951,-3.50219,-1.75771,-7.34673,2.33366,5.48163,1.20489,1.30579,4.11464,3.38962,-32.39106,-26.57438,-58.96544
61830,-8.60901,-4.19641,-3.18557,-7.31805,2.16401,1.59559,4.70449,1.26783,2.39785,1.72074,-31.09985,-26.61714,-57.717
61860,-8.20386,-3.2902,-4.08567,-8.39632,3.2987,4.70825,1.11478,1.16803,2.40045,2.01613,-31.24371,-22.53717,-53.78087
