"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-5.19573022839008,0.204080504840858,4.61374094227827,-10.556185,-8.07359,-6.69511,-3.56656,7.1423305,514,1.01282437298333,1,-9.980417,-6.69511,4.1473655,0.0472000000000001,0.0614049999999997,0.0887800000000003,0.359415,1.03524,0.144389140262551,664,751
"p_2.1.",-1.65490069116354,0.205357073033509,4.60534848178426,-5.828981,-4.725905,-3.568915,0.0556388,10.90497,505,1.01367560874078,1,-5.532666,-3.568915,7.8068015,0.0208050000000002,0.03626,0.106405,0.368273,1.034185,0.14529367458109,645,755
"p_3.1.",-3.15729604334936,0.18282421160815,4.13612703649177,-6.53077525,-5.39193,-4.796745,-2.9635125,9.5768665,514,1.00658287667505,1,-6.2111655,-4.796745,6.43331249999999,0.0174349999999999,0.0163199999999999,0.0290650000000001,0.35933,0.909135,0.129349980485346,854,675
"p_4.1.",-6.38334366221691,0.189017149406677,4.34167623788972,-10.870285,-8.8546375,-7.83989,-5.71608,6.51220425,530,1.00706120875057,1,-10.38347,-7.83989,3.3119625,0.0313500000000007,0.0347949999999999,0.0508549999999999,0.33212,0.890375,0.133729263517453,820,678
"GSD_error_C1_blood.1.",4.04356568866392,0.0124724319808883,2.15294301644057,1.589396,2.3327625,3.35739,5.2711425,9.26695325,29791,1.00003538435461,1,1.7000075,3.35739,8.6396055,0.00446499999999994,0.00723999999999991,0.01573,0.0254799999999999,0.0251799999999998,0.00881942715973327,29959,31224
"GSD_error_C1_cell.1.",4.02180766997875,0.0177131057104826,2.43411907827129,1.1655415,1.9446775,3.349025,5.6711575,9.41826725,18824,1.00008457857496,1,1.2318815,3.349025,8.9047505,0.00297500000000006,0.0122699999999999,0.0282750000000001,0.029515,0.0190550000000007,0.0125252504692437,18091,28589
"GSD_error_C1_lumen.1.",1.72449049150106,0.00753937300157533,1.18257937423244,1.1066415,1.1746775,1.30284,1.6624175,5.726123,24558,1.00003756451352,1,1.113333,1.30284,4.029808,0.000265000000000071,0.00118000000000007,0.00224000000000002,0.00746000000000002,0.0951749999999998,0.00533120481994974,25146,25904
"GSD_error_C2_blood.1.",1.53749401137358,0.0102775352593715,0.990436443800374,1.10287,1.13809,1.215375,1.4467675,4.591252,9272,1.00023667995636,1,1.1058915,1.215375,3.120438,0.000120000000000009,0.000560000000000005,0.00149999999999995,0.00538499999999997,0.132045,0.00762864589114652,18501,12052
"GSD_error_C2_cell.1.",4.03971299368829,0.0180298896974274,2.43715149812177,1.166463,1.9711975,3.36078,5.7141825,9.43012925,18174,0.99996121208362,1,1.237123,3.36078,8.8984665,0.00297000000000003,0.010895,0.0253350000000001,0.0322100000000001,0.0181300000000002,0.0127492607622074,18868,27894
"GSD_error_C2_lumen.1.",3.36385607392826,0.0127505126345872,2.08874543591945,1.3187145,1.7994775,2.58369,4.283525,9.0040425,26825,0.999998133065648,1,1.38576,2.58369,8.1093415,0.00241999999999998,0.004575,0.0129350000000001,0.032575,0.0239250000000002,0.00901607187873116,27674,30029
"LnPrior",-32.5208333492688,0.0352006351811094,1.50241558361314,-35.78645825,-33.432855,-32.428535,-31.47924,-29.87191,1820,1.00110108388382,1,-35.0936895,-32.428535,-30.2498575,0.140055,0.0346049999999991,0.0273850000000024,0.0200899999999997,0.016845,0.0255067252708679,2188,1934
"LnData",-14.5542583831709,0.0214241052056121,2.74828211355362,-20.38798175,-16.32542,-14.35263,-12.5993575,-9.74281085,16375,1.00000765304706,1,-19.35394,-14.35263,-10.381093,0.0505849999999999,0.0253750000000004,0.024025,0.02196,0.0313634999999994,0.0151493985244333,16450,24097
"LnPosterior",-47.0750917272841,0.048511177048904,3.85264169421861,-55.1911305,-49.563845,-46.859465,-44.3590625,-40.16268075,6277,1.00013917249006,1,-53.7383665,-46.859465,-41.143898,0.108429999999998,0.060175000000001,0.0452250000000021,0.0418850000000006,0.052225,0.0345304238104112,6444,13589
