"median","LCL","UCL","Time","Compartment","Addition.Type"
8.96633,8.214902,9.649727,19,"Blood","BtoA"
8.93005,8.1563505,9.6368835,20,"Blood","BtoA"
8.89539,8.1005835,9.6240255,21,"Blood","BtoA"
8.86215,8.0478895,9.6114325,22,"Blood","BtoA"
8.829875,7.9966185,9.599343,23,"Blood","BtoA"
8.798765,7.947989,9.588145,24,"Blood","BtoA"
1e-15,1e-15,1e-15,0,"Cell","BtoA"
1.023305,0.13940205,51.133765,1,"Cell","BtoA"
1.49075,0.25610585,50.90389,2,"Cell","BtoA"
1.901375,0.36327995,50.752155,3,"Cell","BtoA"
2.257215,0.46256105,50.881365,4,"Cell","BtoA"
2.582745,0.5565996,50.66534,5,"Cell","BtoA"
2.86824,0.6469921,50.478385,6,"Cell","BtoA"
3.1412,0.7310939,50.30398,7,"Cell","BtoA"
3.3748,0.80883115,50.19586,8,"Cell","BtoA"
3.597865,0.87767625,50.14861,9,"Cell","BtoA"
3.801275,0.94529985,50.061665,10,"Cell","BtoA"
4.00885,1.0118285,50.0329849999999,11,"Cell","BtoA"
4.208395,1.0691815,50.045085,12,"Cell","BtoA"
4.3824,1.129909,50.03317,13,"Cell","BtoA"
4.54987,1.1918985,50.097995,14,"Cell","BtoA"
4.722845,1.2446945,50.13729,15,"Cell","BtoA"
4.894995,1.295004,50.141235,16,"Cell","BtoA"
5.050605,1.341561,50.155605,17,"Cell","BtoA"
5.19492,1.385632,50.217575,18,"Cell","BtoA"
5.33813,1.4262335,50.22952,19,"Cell","BtoA"
5.47046,1.465684,50.24542,20,"Cell","BtoA"
5.60424,1.5050435,50.16774,21,"Cell","BtoA"
5.72839,1.540547,50.20003,22,"Cell","BtoA"
5.85008,1.577625,50.260355,23,"Cell","BtoA"
5.9737,1.610608,50.2090099999999,24,"Cell","BtoA"
1e-15,1e-15,1e-15,0,"Lumen","BtoA"
0.233674,0.074487025,0.433655,1,"Lumen","BtoA"
0.459511,0.14713625,0.8485839,2,"Lumen","BtoA"
0.677663,0.2177334,1.24318,3,"Lumen","BtoA"
0.88776,0.2858025,1.6215105,4,"Lumen","BtoA"
1.08979,0.3518924,1.98151,5,"Lumen","BtoA"
1.284535,0.4161329,2.323646,6,"Lumen","BtoA"
1.47185,0.47885835,2.6507265,7,"Lumen","BtoA"
1.652285,0.53930105,2.963413,8,"Lumen","BtoA"
1.82562,0.5978152,3.260023,9,"Lumen","BtoA"
1.992435,0.6549121,3.544954,10,"Lumen","BtoA"
2.15203,0.7107999,3.8133205,11,"Lumen","BtoA"
2.306785,0.76483945,4.0690655,12,"Lumen","BtoA"
2.45481,0.81671125,4.3150405,13,"Lumen","BtoA"
2.597495,0.866672,4.5541,14,"Lumen","BtoA"
2.735795,0.9153783,4.777638,15,"Lumen","BtoA"
2.868915,0.96201715,4.9953365,16,"Lumen","BtoA"
2.99524,1.0098025,5.1997665,17,"Lumen","BtoA"
3.117155,1.05327,5.3924895,18,"Lumen","BtoA"
3.23474,1.094508,5.58397,19,"Lumen","BtoA"
3.34842,1.1350655,5.770534,20,"Lumen","BtoA"
3.45743,1.1739785,5.9446465,21,"Lumen","BtoA"
3.56133,1.2130445,6.1113815,22,"Lumen","BtoA"
3.662455,1.2529355,6.2696525,23,"Lumen","BtoA"
3.759705,1.287588,6.425545,24,"Lumen","BtoA"
